	 0    1   0    2   0    3   0    4   1    1   1    2   1    3   1    4   2    1   2    2   2    3   2    4  
0 3 4|  -1000.00   -1000.00   -1000.00   -1000.00   0.23   0.13   0.06   -1000.00   0.67   0.19   0.05   0.18   
0 4 0|  -1000.00   -1000.00   -1000.00   -1000.00   0.67   0.12   -0.32   0.10   -1000.00   -1000.00   0.00   -1000.00   
0 4 1|  -1000.00   -1000.00   -1000.00   -1000.00   -0.00   -0.23   0.68   -0.55   0.58   -1000.00   -1000.00   -1000.00   
0 4 2|  -1000.00   -1000.00   -1000.00   -1000.00   0.39   0.47   -0.04   0.38   0.37   0.67   -1000.00   -1000.00   
0 4 3|  -1000.00   -1000.00   -1000.00   -1000.00   0.68   0.32   0.06   0.18   0.53   0.45   0.28   -1000.00   
0 4 4|  -1000.00   -1000.00   -1000.00   -1000.00   0.29   0.07   0.07   0.69   0.42   0.32   0.03   0.24   
1 0 0|  0.71   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   
1 0 1|  -0.85   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -0.67   -1000.00   -1000.00   -1000.00   
1 0 2|  0.70   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   0.65   -0.76   -1000.00   -1000.00   
1 0 3|  0.70   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -0.09   0.51   -0.68   -1000.00   
1 0 4|  0.71   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   0.19   0.10   0.46   -0.48   
1 1 0|  -0.79   -1000.00   -1000.00   -1000.00   -0.64   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   
1 1 1|  0.69   -1000.00   -1000.00   -1000.00   0.66   -1000.00   -1000.00   -1000.00   0.66   -1000.00   -1000.00   -1000.00   
1 1 2|  0.13   -1000.00   -1000.00   -1000.00   -0.11   -1000.00   -1000.00   -1000.00   -0.73   0.69   -1000.00   -1000.00   
1 1 3|  0.45   -1000.00   -1000.00   -1000.00   0.45   -1000.00   -1000.00   -1000.00   0.70   -0.71   0.67   -1000.00   
1 1 4|  0.21   -1000.00   -1000.00   -1000.00   0.41   -1000.00   -1000.00   -1000.00   0.65   0.69   -0.72   0.63   
1 2 0|  0.72   -1000.00   -1000.00   -1000.00   0.64   -0.62   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   
1 2 1|  0.01   -1000.00   -1000.00   -1000.00   -0.72   0.70   -1000.00   -1000.00   -0.13   -1000.00   -1000.00   -1000.00   
1 2 2|  0.69   -1000.00   -1000.00   -1000.00   0.62   0.17   -1000.00   -1000.00   0.62   -0.16   -1000.00   -1000.00   
1 2 3|  0.69   -1000.00   -1000.00   -1000.00   0.51   0.42   -1000.00   -1000.00   0.67   0.62   -0.02   -1000.00   
1 2 4|  0.69   -1000.00   -1000.00   -1000.00   0.54   0.55   -1000.00   -1000.00   0.47   0.42   0.62   -0.13   
1 3 0|  0.69   -1000.00   -1000.00   -1000.00   -0.06   0.62   -0.61   -1000.00   -1000.00   -1000.00   -1000.00   -1000.00   
1 3 1|  0.35   -1000.00   -1000.00   -1000.00   0.67   -0.72   0.69   -1000.00   0.31   -1000.00   -1000.00   -1000.00   
1 3 2|  0.66   -1000.00   -1000.00   -1000.00   0.55   0.63   -0.06   -1000.00   0.69   0.10   -1000.00   -1000.00   
1 3 3|  0.57   -1000.00   -1000.00   -1000.00   0.51   0.69   0.22   -1000.00   0.52   0.37   0.12   -1000.00   
1 3 4|  0.61   -1000.00   -1000.00   -1000.00   0.52   0.62   0.34   -1000.00   0.61   0.68   0.45   -0.15   
